date,covidtestingnearme
12/8/19,0
12/15/19,0
12/22/19,0
12/29/19,0
1/5/20,0
1/12/20,0
1/19/20,0
1/26/20,0
2/2/20,0
2/9/20,0
2/16/20,0
2/23/20,0
3/1/20,0
3/8/20,<1
3/15/20,6
3/22/20,4
3/29/20,5
4/5/20,6
4/12/20,4
4/19/20,7
4/26/20,7
5/3/20,9
5/10/20,11
5/17/20,12
5/24/20,9
5/31/20,8
6/7/20,9
6/14/20,6
6/21/20,16
6/28/20,27
7/5/20,41
7/12/20,33
7/19/20,25
7/26/20,29
8/2/20,35
8/9/20,31
8/16/20,27
8/23/20,21
8/30/20,27
9/6/20,21
9/13/20,26
9/20/20,26
9/27/20,28
10/4/20,42
10/11/20,49
10/18/20,54
10/25/20,69
11/1/20,77
11/8/20,100
11/15/20,98
11/22/20,65
11/29/20,50
