date,state,fips,cases,deaths
1/24/20,Illinois,17,1,0
1/25/20,Illinois,17,1,0
1/26/20,Illinois,17,1,0
1/27/20,Illinois,17,1,0
1/28/20,Illinois,17,1,0
1/29/20,Illinois,17,1,0
1/30/20,Illinois,17,2,0
1/31/20,Illinois,17,2,0
2/1/20,Illinois,17,2,0
2/2/20,Illinois,17,2,0
2/3/20,Illinois,17,2,0
2/4/20,Illinois,17,2,0
2/5/20,Illinois,17,2,0
2/6/20,Illinois,17,2,0
2/7/20,Illinois,17,2,0
2/8/20,Illinois,17,2,0
2/9/20,Illinois,17,2,0
2/10/20,Illinois,17,2,0
2/11/20,Illinois,17,2,0
2/12/20,Illinois,17,2,0
2/13/20,Illinois,17,2,0
2/14/20,Illinois,17,2,0
2/15/20,Illinois,17,2,0
2/16/20,Illinois,17,2,0
2/17/20,Illinois,17,2,0
2/18/20,Illinois,17,2,0
2/19/20,Illinois,17,2,0
2/20/20,Illinois,17,2,0
2/21/20,Illinois,17,2,0
2/22/20,Illinois,17,2,0
2/23/20,Illinois,17,2,0
2/24/20,Illinois,17,2,0
2/25/20,Illinois,17,2,0
2/26/20,Illinois,17,2,0
2/27/20,Illinois,17,2,0
2/28/20,Illinois,17,2,0
2/29/20,Illinois,17,3,0
3/1/20,Illinois,17,3,0
3/2/20,Illinois,17,4,0
3/3/20,Illinois,17,4,0
3/4/20,Illinois,17,4,0
3/5/20,Illinois,17,5,0
3/6/20,Illinois,17,6,0
3/7/20,Illinois,17,6,0
3/8/20,Illinois,17,7,0
3/9/20,Illinois,17,11,0
3/10/20,Illinois,17,19,0
3/11/20,Illinois,17,25,0
3/12/20,Illinois,17,32,0
3/13/20,Illinois,17,46,0
3/14/20,Illinois,17,66,0
3/15/20,Illinois,17,94,0
3/16/20,Illinois,17,104,0
3/17/20,Illinois,17,159,1
3/18/20,Illinois,17,286,1
3/19/20,Illinois,17,420,4
3/20/20,Illinois,17,583,5
3/21/20,Illinois,17,751,6
3/22/20,Illinois,17,1047,9
3/23/20,Illinois,17,1285,12
3/24/20,Illinois,17,1535,16
3/25/20,Illinois,17,1874,21
3/26/20,Illinois,17,2538,26
